Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,xG
Francisco Calvo\706bd23f,DF,28,17,16,1456,16.2,1,0,1.5
Erik Godoy\e8b80334,DF,27,17,15,1308,14.5,1,0,0.5
Jhegson Méndez\db0c5324,MF,23,17,15,1188,13.2,1,0,0.5
Brian Gutiérrez\d88f31db,FWMF,17,17,6,600,6.7,0,1,1.1
Bruno Gaspar\55ae91f0,DF,27,17,11,891,9.9,1,1,1.0
Adrien Perez\298a167b,FWMF,25,17,10,869,9.7,0,2,2.6
Jony\60665492,MFFW,26,17,10,889,9.9,1,3,1.6
Bobby Wood\9853983f,FWMF,28,17,7,620,6.9,2,1,2.1
Sebastián Driussi\60e86875,MFFW,24,17,16,1376,15.3,5,3,5.0
Benjamin Kikanovic\fe11d61b,FW,21,17,9,797,8.9,4,1,3.1
Cristian Arango\fea9401e,FW,25,17,15,1396,15.5,14,2,12.0
Wyatt Omsberg\cd44ba68,DF,25,18,9,755,8.4,0,0,0.4
Emanuel Maciel\934fdf16,MF,23,18,10,878,9.8,0,0,0.2
Adam Esparza\ca135560,MF,18,18,5,672,7.5,0,0,0.2
Sebastian Berhalter\f33ee427,MF,19,18,5,658,7.3,0,0,0.1
Saad Abdul-Salaam\4705543b,DF,29,18,7,929,10.3,0,0,0.1
Josh Williams\06098bfc,DF,32,18,14,1365,15.2,0,0,0.9
Tomas Romero\3349dcba,GK,20,18,18,1620,18.0,0,0,0.0
Facundo Quignon\5b33b84c,MF,27,18,16,1335,14.8,0,0,1.3
Donovan Pines\7bd25363,DF,22,18,16,1383,15.4,0,0,1.2
James Pantemis\901408ac,GK,23,18,18,1620,18.0,0,0,0.0
Aljaž Struna\b82c2982,DF,30,18,16,1433,15.9,1,0,0.2
Erik Holt\3677d047,DF,24,18,14,1355,15.1,1,0,0.6
Pablo Bonilla\da23cdc3,DF,21,18,16,1358,15.1,0,1,0.3
Erik López\af793b82,FWMF,19,18,10,869,9.7,1,0,2.2
Daniel Steres\17c03c76,DF,30,18,13,1137,12.6,0,2,1.3
Ethan Zubak\9f39b6cf,FWMF,22,18,6,671,7.5,1,1,1.3
Mustafa Kizza\4db20877,DF,21,18,7,659,7.3,0,2,0.5
Nigel Robertha\a94bad97,FWMF,22,18,9,943,10.5,4,1,4.2
Yordy Reyna\eec316d9,FWMF,27,18,8,941,10.5,4,1,3.3
Ryan Gauld\862e93c2,MFFW,25,18,13,1308,14.5,4,5,4.6
Daryl Dike\d4cfc93c,FW,20,18,15,1320,14.7,10,1,6.6
Miguel Berry\a5532e80,FW,23,18,9,844,9.4,8,1,5.1
Ariel Lassiter\bd7b916c,FWMF,26,19,4,544,6.0,0,0,1.8
Kenneth Vermeer\22a94b80,GK,35,19,19,1684,18.7,0,0,0.0
Nouhou Tolo\0796512f,DF,23,19,16,1461,16.2,0,0,0.5
Donny Toia\d286f965,DF,28,19,15,1321,14.7,0,0,0.7
Maciel\a39d51e0,MF,21,19,15,1246,13.8,0,0,0.0
Johan Kappelhof\465015a5,DFMF,30,19,16,1228,13.6,0,0,0.4
José Antonio Martínez Gil\8e049cbd,DF,27,19,16,1503,16.7,0,0,0.4
Séga Coulibaly\dab9537e,DF,24,19,17,1421,15.8,0,0,0.2
Frédéric Brillant\5b14180f,DF,35,19,14,1313,14.6,1,0,0.4
Luis Díaz\1c9838aa,FW,22,19,11,984,10.9,1,0,2.5
Moses Nyeman\09d33255,MF,17,19,10,804,8.9,0,1,0.4
Andy Rose\a16d3560,DF,30,19,19,1646,18.3,2,0,0.7
Jack McGlynn\e2b8c25c,MF,17,19,7,638,7.1,0,1,0.7
